account,amount,time,refund,prize,period
16758097,10,6/1/14 18:38,0,0,11
22514262,10,6/1/14 21:38,0,0,11
7241803,0.25,6/2/14 8:02,0,1,11
27852614,1,6/2/14 8:02,0,1,11
7241803,5,6/2/14 8:40,0,0,12
26541545,40,6/2/14 11:33,0,0,12
16758097,20,6/2/14 12:07,0,0,12
22789676,20,6/2/14 15:19,0,0,12
23122082,80,6/2/14 15:43,0,0,12
22789676,10,6/2/14 16:45,0,0,12
93675,95,6/2/14 19:12,0,0,12
22514262,5,6/2/14 19:55,0,0,12
7241803,0.25,6/3/14 8:02,0,1,12
16758097,2,6/3/14 8:02,0,1,12
26541545,40,6/3/14 8:02,0,1,12
27852614,10,6/3/14 8:42,0,0,13
26541545,30,6/3/14 9:33,0,0,13
11555748,20,6/3/14 14:59,0,0,13
17703941,20,6/3/14 15:49,0,0,1
26702122,10,6/3/14 15:50,0,0,1
24226257,20,6/3/14 15:53,0,0,1
28677734,20,6/3/14 15:53,0,0,1
3672396,10,6/3/14 15:54,0,0,1
16280538,20,6/3/14 15:54,0,0,1
24433466,20,6/3/14 15:54,0,0,1
14534873,15,6/3/14 15:56,0,0,1
3314125,20,6/3/14 15:59,0,0,1
27221845,20,6/3/14 15:59,0,0,1
28840947,10,6/3/14 16:27,0,0,1
22789676,10,6/3/14 17:14,0,0,13
7416966,10,6/3/14 17:28,0,0,1
3672396,10,6/3/14 18:33,0,0,1
29180435,10,6/3/14 19:15,0,0,1
8266688,20,6/3/14 20:15,0,0,1
23122082,70,6/3/14 23:12,0,0,13
26541545,40,6/4/14 7:34,0,0,13
24433466,30,6/4/14 7:34,0,0,1
3672396,2,6/4/14 8:02,0,1,1
8266688,1,6/4/14 8:02,0,1,1
11555748,1,6/4/14 8:02,0,1,13
14534873,1.5,6/4/14 8:02,0,1,1
24433466,2.5,6/4/14 8:02,0,1,1
27852614,0.5,6/4/14 8:02,0,1,13
25576269,20,6/4/14 8:14,0,0,14
16109108,5,6/4/14 10:12,0,0,14
3314125,20,6/4/14 10:15,0,0,2
16109108,5,6/4/14 10:20,0,0,14
93675,80,6/4/14 10:35,0,0,14
26702122,20,6/4/14 10:55,0,0,2
16109108,5,6/4/14 11:00,0,0,14
17703941,30,6/4/14 14:24,0,0,2
17703941,10,6/4/14 14:34,0,0,2
7416966,10,6/4/14 15:35,0,0,2
20586335,20,6/4/14 17:26,0,0,2
22514262,10,6/4/14 17:37,0,0,14
12385366,60,6/4/14 18:52,0,0,2
27852614,10,6/4/14 19:05,0,0,14
8266688,250,6/4/14 19:28,0,0,2
8266688,-250,6/4/14 19:28,1,0,2
3672396,20,6/4/14 20:00,0,0,2
23122082,60,6/4/14 23:26,0,0,14
3672396,2,6/5/14 8:03,0,1,2
16109108,1.5,6/5/14 8:03,0,1,14
17703941,4,6/5/14 8:03,0,1,2
25576269,2,6/5/14 8:03,0,1,14
27852614,0.5,6/5/14 8:03,0,1,14
11555748,20,6/5/14 8:15,0,0,15
24433466,30,6/5/14 9:01,0,0,3
16758097,100,6/5/14 9:02,0,0,15
22789676,10,6/5/14 9:24,0,0,15
20586335,10,6/5/14 10:29,0,0,3
26541545,30,6/5/14 10:32,0,0,15
28518133,10,6/5/14 11:09,0,0,1
28575013,20,6/5/14 11:11,0,0,1
24559367,20,6/5/14 11:12,0,0,1
7694258,20,6/5/14 11:12,0,0,1
24186114,10,6/5/14 11:14,0,0,1
10489810,10,6/5/14 11:16,0,0,1
12790115,20,6/5/14 11:17,0,0,1
23729090,20,6/5/14 11:18,0,0,1
24846916,15,6/5/14 11:19,0,0,1
12232434,20,6/5/14 11:19,0,0,1
21668167,18,6/5/14 11:21,0,0,1
26575477,20,6/5/14 11:38,0,0,1
8323186,20,6/5/14 12:22,0,0,1
3314125,10,6/5/14 14:06,0,0,3
20131972,20,6/5/14 14:17,0,0,1
25714905,20,6/5/14 14:17,0,0,1
571959,20,6/5/14 14:17,0,0,1
25823403,10,6/5/14 14:18,0,0,1
25420033,15,6/5/14 14:18,0,0,1
4101463,20,6/5/14 14:19,0,0,1
13555825,20,6/5/14 14:19,0,0,1
27252833,10,6/5/14 14:20,0,0,1
1002538,20,6/5/14 15:23,0,0,1
17703941,5,6/5/14 16:23,0,0,3
8266688,100,6/5/14 16:43,0,0,3
25177736,20,6/5/14 17:06,0,0,1
27852614,20,6/5/14 18:17,0,0,15
22514262,10,6/5/14 18:20,0,0,15
12385366,50,6/5/14 18:21,0,0,3
17703941,50,6/5/14 18:25,0,0,3
28840947,5,6/5/14 19:44,0,0,3
4101463,20,6/6/14 7:24,0,0,1
8266688,100,6/6/14 7:24,0,0,3
8266688,-100,6/6/14 7:24,1,0,3
4101463,20,6/6/14 7:30,0,0,1
13555825,25,6/6/14 7:32,0,0,1
22789676,20,6/6/14 7:43,0,0,15
28575013,30,6/6/14 7:47,0,0,1
8266688,50,6/6/14 8:01,0,0,3
7694258,1,6/6/14 8:03,0,1,1
8266688,7.5,6/6/14 8:03,0,1,3
8323186,2,6/6/14 8:03,0,1,1
11555748,1,6/6/14 8:03,0,1,15
20586335,1,6/6/14 8:03,0,1,3
24186114,0.5,6/6/14 8:03,0,1,1
24433466,1.5,6/6/14 8:03,0,1,3
24559367,1,6/6/14 8:03,0,1,1
25420033,0.75,6/6/14 8:03,0,1,1
25714905,1,6/6/14 8:03,0,1,1
